id,direccion
543,AV AVELLANEDA 2014
543,AV BEIRO FRANCISCO 3551
544,AV CABILDO 4299
545,DR. JUAN F. ARANGUREN 2736
546,AV ENTRE RIOS 1684
549,SUCRE 1546
550,AV FEDERICO LACROZE 2810
550,PTE. JOSÉ EVARISTO URIBURU 1223
551,AV SAN JUAN 2099
554,AV RIVADAVIA 5415
554,VIRREY DEL PINO
555,LAVALLE 1118
556,URUGUAY 479
557,AV FEDERICO LACROZE 3938
559,AV CORONEL DIAZ 2179
565,AV LAS HERAS 3299
566,AV SEGUROLA 600
566,CHARCAS 3099
567,MONTES DE OCA 954
568,AV INDEPENDENCIA 1384
569,JUNCAL 3005
571,CAMPANA 4658
572,AV AVELLANEDA 1781
572,JUANA MANSO 1696
573,AV ALVAREZ THOMAS 284
575,BAUNESS 1099
575,MONROE 5091
577,AV FEDERICO LACROZE 2495
577,AV LOPE DE VEGA 3452
582,MANUEL UGARTE 2496
584,AV ALVAREZ THOMAS 2600
584,AV NAZCA 2602
584,RINCON 96
585,PEÑA 2776
586,DEFENSA 201
588,LACARRA 688
590,MEXICO 1285
592,AV CONGRESO 5452
594,SOLIS 146
596,AV CASEROS 2608
600,AV EMILIO CASTRO 6699
601,GUTEMBERG 3295
601,LIBERTADOR 810
602,AV EMILIO CASTRO 6451
605,SARMIENTO 481
606,AV RIVADAVIA 2463
610,AV BEIRO FRANCISCO 3602
611,LA RIOJA 287
612,AV SAENZ 875
618,AV JUAN B. ALBERDI 5801
620,ACASSUSO 6440
620,AV BEIRO FRANCISCO 5601
622,EL SALVADOR 5899
623,AV SAN MARTIN 3200
624,AV DIRECTORIO 3901
625,ORTIZ DE OCAMPO 2620
630,AV CORRIENTES 2890
632,AV CONGRESO 5101
632,AV EVA PERON 3699
633,AV CORRIENTES 5736
636,AV DE MAYO 1302
638,ARCE 516
643,AV CORRIENTES 5283
645,AV AVELLANEDA 2600
646,LIBERTAD 1092
650,CHARLONE 1999
650,MARTINIANO LEGUIZAMÓN 900
651,TENIENTE GENERAL JUAN D PERON 3899
652,SARMIENTO 2057
653,AV JUAN B. ALBERDI 1700
653,JUAN B. ALBERDI AV 6901
654,AV ENTRE RIOS 940
656,AV DE MAYO 1217
657,MONTES DE OCA 1229
658,AV TRIUNVIRATO 2977
659,LARREA 1249
662,AV CHORROARIN 1482
663,USPALLATA 3400
665,AV OLAZABAL 4012
668,AV DIRECTORIO 500
668,AV LUIS MARIA CAMPOS 315
669,AV NAZCA 2301
670,MONROE 2112
672,AV JUAN B. ALBERDI 6208
673,ALICIA MOREAU DE JUSTO 746
676,AV CORDOBA 2348
676,AV CRAMER 3015
676,VIRREY DEL PINO 2566
679,AV CORRIENTES 702
681,AV REGIMIENTO DE PATRICIOS 570
682,AV SAN JUAN 2501
684,AV CALLAO 1180
684,AV RIVADAVIA 2568
689,AV CABILDO 3111
690,HONORIO PUEYRREDON 801
691,AV REGIMIENTO DE PATRICIOS 1676
694,AV RIVADAVIA 2431
697,PI Y MARGALL 725
699,AV EVA PERON 4256
699,MANSILLA 2981
700,AV DIAZ VELEZ 4500
704,AV SEGUROLA 1200
706,ACOYTE 141
706,AV CNEL. ESTEBAN BONORINO 602
708,MORON 2902
709,ARTIGAS 1902
710,MOLDES 1599
713,AV INDEPENDENCIA 2900
716,AV RIVADAVIA 5360
724,AV CABILDO 1274
726,DELGADO 599
726,MANUELA PEDRAZA 4299
727,TENIENTE GENERAL JUAN D PERON 1551
728,CNEL. MARTINIANO CHILAVERT 6125
728,PARAGUAY 2322
731,AV LOPE DE VEGA 1702
733,AV VARELA 1294
733,JUNCAL 2863
735,AV CORDOBA 876
736,VIRREY AVILES
737,JURAMENTO 1602
738,AV CALLAO 200
738,JUAN RAMIREZ DE VELAZCO 603
741,ARREGUI 6560
743,BARTOLOME MITRE 2591
744,ROQUE SAENZ PEÑA 609
745,VIRREY AVILES 3371
749,ALVAREZ JONTE 2901
751,POLA 299
752,AV SAN MARTIN 5468
753,AV INDEPENDENCIA 3501
753,MANSILLA 2493
755,CORRALES 3381
757,AV LA PLATA 567
757,MONTES DE OCA 1800
760,AV CASEROS 999
760,TRAFUL 3870
761,CHACABUCO 940
762,BRASIL 1184
763,AV RIVADAVIA 8777
764,AV NAZCA 1982
767,AV CALLAO 1621
768,AV JUAN B. JUSTO 2291
769,PARAGUAY 2802
770,AV ELCANO 3364
775,AV LA PLATA 283
775,AV LAS HERAS 2968
780,ACOYTE 701
783,AV EMILIO CASTRO 7649
784,AV ENTRE RIOS 1735
784,RODRIGUEZ PEÑA 753
785,ALVAREZ THOMAS 1238
785,AV BOEDO 937
786,AV LAFUENTE 2899
786,CABELLO 3701
787,AV CABILDO 2363
787,AV DIAZ VELEZ 5101
788,AV RIVADAVIA 9902
792,AV RIVADAVIA 8896
794,AV RIVADAVIA 7269
794,TRELLES 2596
796,ALVAREZ JONTE 3873
796,ARTIGAS 3700
796,AV CORDOBA 5901
796,AV LAFUENTE 3068
797,AV PUEYRREDON 802
798,BRASIL 1128
800,AV DE LOS INCAS 4960
800,AV EVA PERON 2300
804,AV ANGEL GALLARDO 677
804,AV BALBIN 3936
804,AV BEIRO FRANCISCO 3160
805,AV BEIRO FRANCISCO 5280
805,AV CARABOBO 717
807,AV SAN JUAN 3162
809,PERU 1520
810,CONDARCO 2105
812,CUENCA 2717
816,AV RIVADAVIA 8701
817,COBO 1101
819,AV CABILDO 2340
820,AV CORDOBA 1467
823,AV INDEPENDENCIA 2083
824,AV CABILDO 3673
830,AV DEL LIBERTADOR 2102
830,MORENO 3489
830,VIAMONTE 1734
835,AV CABILDO 4599
837,AV RIVADAVIA 6379
838,AV GAONA 1665
841,AV LA PLATA 1234
842,AV ALVAREZ THOMAS 900
842,AV DEL LIBERTADOR 8324
842,NICASIO OROÑO 1500
843,AV ALMIRANTE BROWN 1361
844,AV AVELLANEDA 212
846,AV CORRIENTES 1835
847,MONROE 1901
848,AV LA PLATA 2599
850,AV CABILDO 868
851,MARCELO T. DE ALVEAR 1487
851,PICHINCHA 52
855,AV INDEPENDENCIA 767
856,GUEMES 3500
857,GODOY CRUZ 2958
858,AV SAENZ 1071
858,JOSÉ EVARISTO URIBURU 1379
859,VENEZUELA 802
861,AV GRAL. MOSCONI 3199
862,ARCOS 2161
862,MORON 3283
867,AV CORRIENTES 2101
867,AV RIVADAVIA 9626
868,CORRALES 6302
869,AV FEDERICO LACROZE 3289
869,RECONQUISTA 1000
870,VEDIA 3626
871,AV CORRIENTES 4025
872,AV RIVADAVIA 11362
872,JUNCAL 912
874,ECHEVERRIA 3187
874,FLORIDA 52
877,JERONIMO SALGUERO 3080
881,AV TRIUNVIRATO 5602
881,PACHECO DE MELO 2402
882,AV CALLAO 779
883,BRASIL 447
887,AV SAN JUAN 3701
889,AV NAZCA 1876
889,IRIGOYEN 1989
890,SARMIENTO 3602
891,AV CORRIENTES 1499
892,AV OLAZABAL 2420
893,ACOYTE 435
894,AV RIVADAVIA 11244
898,AV CABILDO 2171
900,AV FERNANDEZ DE LA CRUZ 6245
905,DEL BARCO CENTENERA 1282
909,AV CABILDO 1840
911,AV ALVAREZ THOMAS 302
912,AV BOEDO 490
912,RAMOS MEJIA 1430
915,AV CABILDO 1631
916,AV SANTA FE 3557
916,ECUADOR 1320
920,AV RIVADAVIA 7209
920,POTOSI 4100
920,TENIENTE GENERAL JUAN D PERON 4500
921,BARTOLOME MITRE 1177
923,AV BEIRO FRANCISCO 3562
923,AV DORREGO 940
925,AV CABILDO 4750
925,LAVALLE 1401
925,MANUELA PEDRAZA 2044
928,ARAOZ 2800
928,PIEDRAS 1960
929,MURGUIONDO 4064
931,SAAVEDRA 526
933,TUCUMAN 2102
934,AUSTRIA 1839
935,AV CABILDO 2967
937,GRAL. URQUIZA 624
937,NOGOYA 4489
939,SARMIENTO 2102
940,SANTO DOMINGO 2425
941,AV DIRECTORIO 520
943,AV CABILDO 2676
943,AV CORRIENTES 6151
944,CHACABUCO 119
946,AV SAN MARTIN. 2159
949,BOLIVAR 1001
949,SANTA MAGDALENA 668
950,CASEROS AV. 2663
951,AV CORRIENTES 3650
951,AV VARELA 999
952,FRAY J.S. DE ORO 3018
953,AV SANTA FE 3350
954,AV RIVADAVIA 4544
956,MAURE 1732
964,ESCALADA 2399
968,AV CRISOLOGO LARRALDE 2312
970,AV RIVADAVIA 4299
970,NECOCHEA 635
972,SALTA 534
972,SAN MARTIN 590
972,YRIGOYEN HIPOLITO
973,BRASIL 1299
973,J. RAMIREZ DE VELAZCO 692
976,AV DR. RICARDO BALBIN 3496
978,COMBATE DE LOS POZOS 1881
979,AV RIVADAVIA 5892
982,AV LAS HERAS 2273
984,AV BOEDO 1549
984,GASCON 450
984,JERONIMO SALGUERO 3297
984,TTE. GRAL. DONATO ALVAREZ 859
987,AV RIVADAVIA 4002
990,AV RIVADAVIA 8509
992,AZOPARDO 350
995,BESARES 4099
995,SOMELLERA 5671
996,BULNES 1770
999,AV CORRIENTES 5288
999,GALLO 1289
1001,JUNCAL 873
1005,AV CORRIENTES 5901
1006,HONDURAS 3702
1007,AV RAUL SCALABRINI ORTIZ 461
